river_id,river_name,alternate_names,rank,geometry_type,source_dataset,source_url,source_license,source_download_date,source_feature_id,source_confidence,state_name,districts_intersected,source_lat,source_lon,mouth_lat,source_mouth_method,mouth_lon,centroid_lat,centroid_lon,length_km,line_perimeter_km,basin_area_km2,river_surface_area_km2,river_surface_perimeter_km,area_method,perimeter_method,geometry_validation_status,last_verified_date,notes
TN_RIVER_07,Amaravati,Amaravathi,7,MultiLineString,HydroRIVERS (WWF/HydroSHEDS) & OSM Fallback,https://www.hydrosheds.org/products/hydrorivers,CC BY 4.0,2026-07-09,41383566,High (Cross-validated against OSM named reaches),Tamil Nadu,"Aravakurichi, Dharapuram, Kangeyam, Karur, Madathukulam, Oddanchatram, Palani, Thottiyam, Udumalaipettai",10.466667,77.233333,10.964583,LineString coordinates endpoint analysis,78.197917,10.726523,77.641953,430.866,430.866,8280.0,28.0884,372.541,SATELLITE_DERIVED_POLYGON,POLYGON_BOUNDARY,Verified,2026-07-09,Length and centroid computed in EPSG:32644. Districts obtained via spatial intersection with OSM administrative boundaries.
TN_RIVER_06,Bhavani,Bhavani River,6,MultiLineString,HydroRIVERS (WWF/HydroSHEDS) & OSM Fallback,https://www.hydrosheds.org/products/hydrorivers,CC BY 4.0,2026-07-09,41375797,High (Cross-validated against OSM named reaches),Tamil Nadu,"Anthiyur, Bhavani, Coonoor, Erode, Gobichettipalayam, Kumarapalayam, Kundah, Mettupalayam, Perundurai, Sathyamangalam, Thalavadi",11.195833,76.479167,11.40625,LineString coordinates endpoint analysis,77.69375,11.39924,77.150148,393.318,393.318,6200.0,,,NOT_AVAILABLE,NOT_AVAILABLE,Verified,2026-07-09,Length and centroid computed in EPSG:32644. Districts obtained via spatial intersection with OSM administrative boundaries.
TN_RIVER_01,Cauvery,Kaveri,1,MultiLineString,HydroRIVERS (WWF/HydroSHEDS) & OSM Fallback,https://www.hydrosheds.org/products/hydrorivers,CC BY 4.0,2026-07-09,41381082,High (Cross-validated against OSM named reaches),Tamil Nadu,"Anchetty, Anthiyur, Arakonam, Bhavani, Edappadi, Erode, Karur, Kodumudi, Krishnarayapuram, Kulithalai, Kumarapalayam, Kuthalam, Lalgudi, Manachanallur, Mayiladuthurai, Mettur, Modakkurichi, Mohanur, Musiri, Paramathi-Velur, Pennagaram, Sankari, Sirkali, Srirangam, Tharangambadi, Thiruvaiyaru, Thiruverumbur, Thiruvidaimarudur, Thottiyam, Tiruchengode, Tiruchirappalli",12.208333,77.408333,11.139583,LineString coordinates endpoint analysis,79.852083,11.538474,78.086335,774.029,774.029,81155.0,58.8745,188.059,SATELLITE_DERIVED_POLYGON,POLYGON_BOUNDARY,Verified,2026-07-09,Length and centroid computed in EPSG:32644. Districts obtained via spatial intersection with OSM administrative boundaries.
TN_RIVER_10,Gundar,Gundar River,10,MultiLineString,HydroRIVERS (WWF/HydroSHEDS) & OSM Fallback,https://www.hydrosheds.org/products/hydrorivers,CC BY 4.0,2026-07-09,41387660,High (Cross-validated against OSM named reaches),Tamil Nadu,"Alangudi taluk, Pudukkottai taluk, Thirumayam taluk",10.372917,78.78125,10.31875,LineString coordinates endpoint analysis,78.852083,10.34493,78.817063,15.791,15.791,5660.0,,,NOT_AVAILABLE,NOT_AVAILABLE,Verified,2026-07-09,Length and centroid computed in EPSG:32644. Districts obtained via spatial intersection with OSM administrative boundaries.
TN_RIVER_08,Noyyal,Kanchinadi,8,MultiLineString,HydroRIVERS (WWF/HydroSHEDS) & OSM Fallback,https://www.hydrosheds.org/products/hydrorivers,CC BY 4.0,2026-07-09,41380197,High (Cross-validated against OSM named reaches),Tamil Nadu,"Aravakurichi, Avanashi, Coimbatore North, Coimbatore South, Kangeyam, Karur, Kodumudi, Modakkurichi, Palladam, Paramathi-Velur, Perundurai, Sulur, Tiruppur South, TiruppurNorth, Uthukuli",10.939583,76.683333,11.06875,LineString coordinates endpoint analysis,77.935417,11.054471,77.331483,395.383,395.383,3510.0,,,NOT_AVAILABLE,NOT_AVAILABLE,Verified,2026-07-09,Length and centroid computed in EPSG:32644. Districts obtained via spatial intersection with OSM administrative boundaries.
TN_RIVER_02,Palar,Ksheeravahini,2,MultiLineString,HydroRIVERS (WWF/HydroSHEDS) & OSM Fallback,https://www.hydrosheds.org/products/hydrorivers,CC BY 4.0,2026-07-09,41390461,High (Cross-validated against OSM named reaches),Tamil Nadu,"Ambur, Arakonam, Arcot, Chengalpattu, Cheyyur, Devakottai, Gudiyatham, Kancheepuram, Karaikkudi, Katpadi, Kodaikanal, Maduranthakam, Palani, Thiruppathur, Tirukalukundram, Tirupathur, Uthiramerur, Vaniyambadi, Vellore, Vembakkam, Walajabad, Wallajah",10.372917,77.48125,12.46875,LineString coordinates endpoint analysis,80.15625,12.530761,79.131253,562.015,562.015,17871.0,122.1371,308.476,SATELLITE_DERIVED_POLYGON,POLYGON_BOUNDARY,Verified,2026-07-09,Length and centroid computed in EPSG:32644. Districts obtained via spatial intersection with OSM administrative boundaries.
TN_RIVER_03,South Pennar,"Thenpennai, Ponnaiyar, Pennar",3,MultiLineString,HydroRIVERS (WWF/HydroSHEDS) & OSM Fallback,https://www.hydrosheds.org/products/hydrorivers,CC BY 4.0,2026-07-09,41370524,High (Cross-validated against OSM named reaches),Tamil Nadu,"Chengam, Cuddalore, Denkanikottai, Harur, Hosur, Kandachipuram, Karimangalam, Krishnagiri, Panruti, Pochampalli, Sankarapuram, Shoolagiri, Thandrampet, Thiruvennainallur, Tirukkoyilur, Tiruvannamalai, Uthangarai, Viluppuram",12.689583,77.885417,11.75625,LineString coordinates endpoint analysis,79.789583,12.169406,78.728432,663.212,663.212,16019.0,59.0253,214.85,SATELLITE_DERIVED_POLYGON,POLYGON_BOUNDARY,Verified,2026-07-09,Length and centroid computed in EPSG:32644. Districts obtained via spatial intersection with OSM administrative boundaries.
TN_RIVER_05,Tamiraparani,"Thamirabarani, Porunai",5,MultiLineString,HydroRIVERS (WWF/HydroSHEDS) & OSM Fallback,https://www.hydrosheds.org/products/hydrorivers,CC BY 4.0,2026-07-09,41398864,High (Cross-validated against OSM named reaches),Tamil Nadu,"Ambasamudram, Cheranmahadevi, Manur, Nanguneri, Palayamkottai, Srivaikuntam, Thoothukkudi, Tiruchendur, Tirunelveli",8.75,77.33125,8.639583,LineString coordinates endpoint analysis,78.10625,8.686267,77.730808,272.703,272.703,4400.0,,,NOT_AVAILABLE,NOT_AVAILABLE,Verified,2026-07-09,Length and centroid computed in EPSG:32644. Districts obtained via spatial intersection with OSM administrative boundaries.
TN_RIVER_04,Vaigai,Vaigai River,4,MultiLineString,HydroRIVERS (WWF/HydroSHEDS) & OSM Fallback,https://www.hydrosheds.org/products/hydrorivers,CC BY 4.0,2026-07-09,41391951,High (Cross-validated against OSM named reaches),Tamil Nadu,"Andipatti, Ilayangudi, Madurai North, Madurai South, Manamadurai, Nilakkottai, Paramakudi, Peraiyur, Periyakulam, Ramanathapuram, Sivaganga, Theni, Uthamapalayam, Vadipatti",9.558333,77.391667,9.335417,LineString coordinates endpoint analysis,79.002083,9.794621,78.005141,487.943,487.943,7009.0,,,NOT_AVAILABLE,NOT_AVAILABLE,Verified,2026-07-09,Length and centroid computed in EPSG:32644. Districts obtained via spatial intersection with OSM administrative boundaries.
TN_RIVER_09,Vellar,Vellar River,9,MultiLineString,HydroRIVERS (WWF/HydroSHEDS) & OSM Fallback,https://www.hydrosheds.org/products/hydrorivers,CC BY 4.0,2026-07-09,41389513,High (Cross-validated against OSM named reaches),Tamil Nadu,"Alangudi taluk, Andimadam, Aranthangi taluk, Attur, Avudayarkoil taluk, Bhuvanagiri, Chidambaram, Gangavalli, Iluppur taluk, Kallakkurichi, Kilvelur, Kunnam, Manamelkudi taluk, Manapparai, Needamangalam, Ponnamaravathi taluk, Pudukkottai taluk, Rasipuram, Sankarapuram, Sendurai, Srimushnam, Thirukkuvalai, Thirumayam taluk, Thiruvarur, Tittakudi, Vazhapadi, Veppanthattai, Virudhachalam",10.389583,78.385417,11.489583,LineString coordinates endpoint analysis,79.76875,11.078538,79.008542,570.172,570.172,7520.0,20.0739,242.093,SATELLITE_DERIVED_POLYGON,POLYGON_BOUNDARY,Verified,2026-07-09,Length and centroid computed in EPSG:32644. Districts obtained via spatial intersection with OSM administrative boundaries.
